rollout/success_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,train/std,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0,10,50.0,-22.5110252,500,2,196,0.049787066876888275,,,,,,,,,
0.0,20,50.0,-20.84287745,1000,5,199,0.049787066876888275,,,,,,,,,
0.0,30,50.0,-22.203228233333334,1500,7,198,0.049787066876888275,,,,,,,,,
0.0,40,50.0,-22.352118325,2000,10,196,0.049787066876888275,,,,,,,,,
0.0,50,50.0,-22.10465992,2500,12,193,0.049787066876888275,,,,,,,,,
0.01666666753590107,60,49.63333333333333,-21.813675783333334,2978,15,191,0.049787066876888275,,,,,,,,,
0.014285714365541935,70,49.68571428571428,-22.111962014285712,3478,18,189,0.049787066876888275,,,,,,,,,
0.012500000186264515,80,49.725,-22.139942,3978,21,188,0.049787066876888275,,,,,,,,,
0.011111111380159855,90,49.75555555555555,-21.7864851,4478,23,189,0.049787066876888275,,,,,,,,,
0.009999999776482582,100,49.78,-21.767825199999997,4978,26,190,0.049787066876888275,,,,,,,,,
0.009999999776482582,110,49.78,-21.35459232,5478,28,192,0.049787066876888275,,,,,,,,,
0.009999999776482582,120,49.78,-21.651257299999997,5978,30,193,0.049787066876888275,,,,,,,,,
0.009999999776482582,130,49.78,-20.9983391,6478,33,193,0.049787066876888275,,,,,,,,,
0.009999999776482582,140,49.78,-21.095594780000003,6978,36,193,0.049787066876888275,,,,,,,,,
0.009999999776482582,150,49.78,-21.588846779999997,7478,38,193,0.049787066876888275,,,,,,,,,
0.0,160,50.0,-21.75047127,7978,41,192,0.049787066876888275,,,,,,,,,
0.0,170,50.0,-21.35228111,8478,44,192,0.049787066876888275,,,,,,,,,
0.0,180,50.0,-20.8800215,8978,46,192,0.049787066876888275,,,,,,,,,
0.0,190,50.0,-21.036296479999997,9478,49,191,0.049787066876888275,,,,,,,,,
0.0,200,50.0,-21.061922769999995,9978,52,191,0.049787066876888275,,,,,,,,,
0.0,210,50.0,-21.51594194,10478,57,181,0.04993733763694763,476,0.22384632378816605,0.0001,-0.10924650356173515,0.6912615522742271,0.9714965373277664,,,
0.0,220,50.0,-21.815469820000004,10978,63,173,0.050001196563243866,976,0.660661693662405,0.0001,-0.4464240074157715,-5.9755918979644775,0.9110269695520401,,,
0.0,230,50.0,-22.12978156,11478,68,166,0.05001688003540039,1476,0.48279377818107605,0.0001,-0.7717522829771042,-11.719035387039185,0.8619482517242432,,,
0.0,240,50.0,-21.675559689999996,11978,74,160,0.05003475397825241,1976,0.5687156319618225,0.0001,-0.9324303865432739,-16.950895309448242,0.8176472783088684,,,
0.0,250,50.0,-20.90828051,12478,80,154,0.050035618245601654,2476,0.5357978045940399,0.0001,-1.2810854613780975,-21.277596950531006,0.7767630368471146,,,
0.0,260,50.0,-21.038755690000002,12978,86,150,0.05004943162202835,2976,0.7995029240846634,0.0001,-1.4965680837631226,-24.992423057556152,0.7381245791912079,,,
0.0,270,50.0,-20.914287900000005,13478,92,145,0.05004515498876572,3476,0.6339011341333389,0.0001,-1.8089889883995056,-27.766738414764404,0.7017506808042526,,,
0.0,280,50.0,-21.280024320000003,13978,98,142,0.05005410313606262,3976,0.7963548824191093,0.0001,-1.9626714289188385,-29.987369060516357,0.6672124117612839,,,
0.0,290,50.0,-21.376222870000003,14478,104,138,0.05006162449717522,4476,0.6516705863177776,0.0001,-2.2459792494773865,-32.23636436462402,0.6345630288124084,,,
0.0,300,50.0,-22.026600009999996,14978,110,136,0.05007348582148552,4976,0.2517109327018261,0.0001,-2.4948933124542236,-33.87099742889404,0.6036149710416794,,,
0.0,310,50.0,-22.700472989999998,15478,115,133,0.0500754714012146,5476,0.5029597729444504,0.0001,-2.6811786890029907,-34.61936950683594,0.5742936730384827,,,
0.0,320,50.0,-22.202250760000002,15978,121,131,0.05008317157626152,5976,0.28714822232723236,0.0001,-2.9943928718566895,-35.535956382751465,0.5461843609809875,,,
0.0,330,50.0,-22.090320049999995,16478,127,129,0.05009753629565239,6476,0.266949363052845,0.0001,-3.1930363178253174,-36.038187980651855,0.5196038633584976,,,
0.0,340,50.0,-21.94778659,16978,133,127,0.05009910464286804,6976,0.24799004197120667,0.0001,-3.3867151737213135,-36.037543296813965,0.4943031743168831,,,
0.0,350,50.0,-22.05554572,17478,139,125,0.050105251371860504,7476,0.1991745289415121,0.0001,-3.7816250920295715,-35.912123680114746,0.4701780825853348,,,
0.0,360,50.0,-21.71942969,17978,145,123,0.05010467395186424,7976,0.26624149084091187,0.0001,-4.092238187789917,-36.000112533569336,0.4472687095403671,,,
0.0,370,50.0,-21.832690599999996,18478,150,122,0.050108712166547775,8476,0.23603252321481705,0.0001,-4.049537181854248,-35.54787635803223,0.4255463480949402,,,
0.0,380,50.0,-21.74607363,18978,156,121,0.0501190721988678,8976,0.26174736209213734,0.0001,-4.648273348808289,-35.432074546813965,0.40476955473423004,,,
